
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  EURUSD       |  132 trades | WR  50.0% | PF  1.73 | PnL $  385.87 | DD   7.6% | avgR +0.31 | peak 1.4R → give 1.1R | eq $1386  [costs gross=$   +439 comm=$ 40.44 swap=$ -12.34]
  GBPUSD       |   24 trades | WR  20.8% | PF  0.12 | PnL $  -83.26 | DD   8.3% | avgR -0.59 | peak 0.5R → give 1.0R | eq $920  [costs gross=$    -78 comm=$  4.81 swap=$  -0.20]
  USDJPY       |   31 trades | WR  51.6% | PF  1.04 | PnL $    3.48 | DD   5.3% | avgR +0.01 | peak 0.9R → give 0.9R | eq $1003  [costs gross=$    +11 comm=$  7.43 swap=$  -0.36]
  USDCAD       |  105 trades | WR  54.3% | PF  1.35 | PnL $  102.66 | DD   5.0% | avgR +0.11 | peak 1.4R → give 1.3R | eq $1103  [costs gross=$   +130 comm=$ 11.71 swap=$ -15.27]
  USDCHF       |  182 trades | WR  62.1% | PF  3.30 | PnL $ 1625.27 | DD   7.2% | avgR +0.77 | peak 2.0R → give 1.2R | eq $2625  [costs gross=$  +1711 comm=$ 65.27 swap=$ -20.93]
  AUDUSD       |  192 trades | WR  77.1% | PF  8.09 | PnL $24756.32 | DD   8.2% | avgR +2.51 | peak 4.4R → give 2.0R | eq $25826  [costs gross=$ +25842 comm=$348.60 swap=$-736.89]
  NZDUSD       |    7 trades | WR   0.0% | PF  0.00 | PnL $  -85.00 | DD   8.5% | avgR -1.60 | peak 0.2R → give 1.9R | eq $920  [costs gross=$    -82 comm=$  3.02 swap=$  +0.00]
  EURJPY       |   22 trades | WR  22.7% | PF  0.40 | PnL $  -74.58 | DD   8.7% | avgR -0.36 | peak 0.8R → give 1.1R | eq $932  [costs gross=$    -69 comm=$  4.87 swap=$  -0.70]
  GBPJPY       |   19 trades | WR  42.1% | PF  0.12 | PnL $  -84.71 | DD   8.5% | avgR -0.43 | peak 0.8R → give 1.2R | eq $920  [costs gross=$    -82 comm=$  2.67 swap=$  -0.09]
  AUDJPY       |  162 trades | WR  67.9% | PF  3.25 | PnL $  345.10 | DD   2.0% | avgR +0.53 | peak 1.6R → give 1.0R | eq $1345  [costs gross=$   +356 comm=$  9.26 swap=$  -1.71]
  NZDJPY       |    7 trades | WR   0.0% | PF  0.00 | PnL $  -86.99 | DD   8.7% | avgR -1.85 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -85 comm=$  1.61 swap=$  +0.00]
  CADJPY       |   66 trades | WR  54.5% | PF  0.93 | PnL $  -14.18 | DD   8.7% | avgR +0.07 | peak 1.2R → give 1.1R | eq $994  [costs gross=$     +3 comm=$ 13.42 swap=$  -3.39]
  CHFJPY       |   38 trades | WR  57.9% | PF  1.61 | PnL $   66.68 | DD   8.5% | avgR +0.20 | peak 1.5R → give 1.3R | eq $1072  [costs gross=$    +72 comm=$  3.14 swap=$  -2.52]
  EURGBP       |    9 trades | WR  22.2% | PF  0.01 | PnL $  -83.09 | DD   8.3% | avgR -0.81 | peak 0.4R → give 1.1R | eq $920  [costs gross=$    -78 comm=$  5.08 swap=$  -0.47]
  EURAUD       |  108 trades | WR  54.6% | PF  1.49 | PnL $  203.68 | DD   7.8% | avgR +0.22 | peak 1.3R → give 1.1R | eq $1204  [costs gross=$   +228 comm=$ 16.57 swap=$  -7.87]
  EURCHF       |   22 trades | WR  45.5% | PF  1.62 | PnL $   90.33 | DD   8.6% | avgR +0.45 | peak 2.0R → give 1.6R | eq $1098  [costs gross=$   +112 comm=$ 15.79 swap=$  -6.05]
