
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  EURUSD       |  115 trades | WR  60.0% | PF  1.54 | PnL $  253.72 | DD   8.1% | avgR +0.19 | peak 1.4R → give 1.3R | eq $1255  [costs gross=$   +294 comm=$ 30.80 swap=$  -9.64]
  GBPUSD       |   20 trades | WR  40.0% | PF  0.23 | PnL $  -81.54 | DD   8.2% | avgR -0.48 | peak 0.9R → give 1.4R | eq $920  [costs gross=$    -77 comm=$  4.13 swap=$  -0.24]
  USDJPY       |   52 trades | WR  61.5% | PF  1.19 | PnL $   50.21 | DD   8.4% | avgR +0.19 | peak 1.4R → give 1.2R | eq $1055  [costs gross=$    +65 comm=$ 14.25 swap=$  -0.24]
  USDCAD       |  107 trades | WR  60.7% | PF  1.85 | PnL $  294.69 | DD   5.5% | avgR +0.26 | peak 1.6R → give 1.4R | eq $1295  [costs gross=$   +339 comm=$ 14.17 swap=$ -30.39]
  USDCHF       |  111 trades | WR  64.0% | PF  2.79 | PnL $  731.42 | DD   8.4% | avgR +0.77 | peak 2.0R → give 1.3R | eq $1739  [costs gross=$   +771 comm=$ 29.57 swap=$ -10.17]
  AUDUSD       |   59 trades | WR  69.5% | PF  3.71 | PnL $  590.33 | DD   8.3% | avgR +1.34 | peak 2.9R → give 1.6R | eq $1596  [costs gross=$   +660 comm=$ 22.97 swap=$ -47.12]
  NZDUSD       |    8 trades | WR  12.5% | PF  0.05 | PnL $  -82.55 | DD   8.3% | avgR -1.39 | peak 0.4R → give 1.6R | eq $920  [costs gross=$    -79 comm=$  2.99 swap=$  -0.59]
  EURJPY       |   17 trades | WR  35.3% | PF  0.63 | PnL $  -47.91 | DD   8.7% | avgR -0.23 | peak 1.1R → give 1.5R | eq $959  [costs gross=$    -43 comm=$  4.28 swap=$  -1.04]
  GBPJPY       |   47 trades | WR  44.7% | PF  1.22 | PnL $   51.14 | DD   8.5% | avgR +0.14 | peak 1.5R → give 1.5R | eq $1057  [costs gross=$    +60 comm=$  7.07 swap=$  -1.61]
  AUDJPY       |  206 trades | WR  80.6% | PF  4.37 | PnL $  745.36 | DD   2.0% | avgR +0.77 | peak 1.9R → give 1.1R | eq $1745  [costs gross=$   +762 comm=$ 13.73 swap=$  -3.08]
  NZDJPY       |    9 trades | WR   0.0% | PF  0.00 | PnL $  -85.11 | DD   8.5% | avgR -1.77 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -84 comm=$  1.48 swap=$  +0.00]
  CADJPY       |  222 trades | WR  70.7% | PF  1.61 | PnL $  430.47 | DD   8.1% | avgR +0.32 | peak 1.5R → give 1.2R | eq $1432  [costs gross=$   +495 comm=$ 47.56 swap=$ -17.11]
  CHFJPY       |  256 trades | WR  77.3% | PF  2.48 | PnL $ 1576.23 | DD   7.1% | avgR +0.63 | peak 1.9R → give 1.3R | eq $2576  [costs gross=$  +1639 comm=$ 35.16 swap=$ -27.22]
  EURGBP       |   17 trades | WR  23.5% | PF  0.30 | PnL $  -84.53 | DD   8.5% | avgR -0.58 | peak 0.8R → give 1.6R | eq $920  [costs gross=$    -73 comm=$  9.05 swap=$  -2.71]
  EURAUD       |  322 trades | WR  81.4% | PF  3.97 | PnL $ 4193.07 | DD   5.1% | avgR +0.87 | peak 2.0R → give 1.1R | eq $5193  [costs gross=$  +4333 comm=$ 89.47 swap=$ -50.87]
  EURCHF       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -94.55 | DD   9.5% | avgR -1.17 | peak 0.2R → give 1.2R | eq $920  [costs gross=$    -90 comm=$  4.59 swap=$  -0.44]
  EURCAD       |   19 trades | WR  36.8% | PF  0.46 | PnL $  -62.22 | DD   8.1% | avgR -0.38 | peak 0.9R → give 1.3R | eq $939  [costs gross=$    -56 comm=$  5.18 swap=$  -0.55]
