
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 360 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  EURUSD       |  103 trades | WR  67.0% | PF  2.45 | PnL $  580.52 | DD   8.6% | avgR +0.64 | peak 1.8R → give 1.2R | eq $1592  [costs gross=$   +614 comm=$ 21.73 swap=$ -11.96]
  GBPUSD       |   93 trades | WR  61.3% | PF  1.30 | PnL $  109.25 | DD   8.5% | avgR +0.16 | peak 1.4R → give 1.3R | eq $1115  [costs gross=$   +132 comm=$ 21.54 swap=$  -1.59]
  USDJPY       |   93 trades | WR  59.1% | PF  1.46 | PnL $  223.23 | DD   8.5% | avgR +0.25 | peak 1.5R → give 1.2R | eq $1229  [costs gross=$   +245 comm=$ 20.18 swap=$  -2.07]
  USDCAD       |   59 trades | WR  57.6% | PF  0.50 | PnL $  -77.69 | DD   8.5% | avgR -0.23 | peak 1.2R → give 1.5R | eq $927  [costs gross=$    -67 comm=$  5.61 swap=$  -5.04]
  USDCHF       |  132 trades | WR  76.5% | PF  2.51 | PnL $  537.13 | DD   8.0% | avgR +0.62 | peak 1.9R → give 1.3R | eq $1538  [costs gross=$   +582 comm=$ 31.82 swap=$ -12.57]
  AUDUSD       |   27 trades | WR  51.9% | PF  0.19 | PnL $  -91.88 | DD   9.2% | avgR -0.32 | peak 1.3R → give 1.7R | eq $920  [costs gross=$    -83 comm=$  4.72 swap=$  -4.40]
  NZDUSD       |    9 trades | WR  33.3% | PF  0.01 | PnL $  -81.11 | DD   8.1% | avgR -0.98 | peak 0.8R → give 1.8R | eq $920  [costs gross=$    -78 comm=$  2.76 swap=$  -0.71]
  EURJPY       |   20 trades | WR  45.0% | PF  0.68 | PnL $  -35.50 | DD   9.0% | avgR -0.20 | peak 1.1R → give 1.3R | eq $975  [costs gross=$    -31 comm=$  3.60 swap=$  -1.00]
  GBPJPY       |   20 trades | WR  50.0% | PF  0.19 | PnL $  -74.65 | DD   8.3% | avgR -0.37 | peak 1.1R → give 1.6R | eq $928  [costs gross=$    -72 comm=$  2.54 swap=$  -0.51]
  AUDJPY       |  375 trades | WR  77.6% | PF  3.20 | PnL $  936.89 | DD   3.8% | avgR +0.52 | peak 1.7R → give 1.2R | eq $1937  [costs gross=$   +968 comm=$ 24.79 swap=$  -5.85]
  NZDJPY       |   16 trades | WR  50.0% | PF  1.41 | PnL $   42.73 | DD   9.2% | avgR +0.51 | peak 2.4R → give 2.0R | eq $1056  [costs gross=$    +47 comm=$  3.59 swap=$  -0.95]
