
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 540 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  EURUSD       |   19 trades | WR  36.8% | PF  0.24 | PnL $  -81.07 | DD   8.1% | avgR -0.41 | peak 0.7R → give 1.2R | eq $920  [costs gross=$    -77 comm=$  3.18 swap=$  -1.20]
  GBPUSD       |   17 trades | WR  35.3% | PF  0.14 | PnL $  -85.44 | DD   8.5% | avgR -0.60 | peak 0.7R → give 1.4R | eq $920  [costs gross=$    -82 comm=$  2.92 swap=$  -0.19]
  USDJPY       |   34 trades | WR  64.7% | PF  1.65 | PnL $   97.54 | DD   8.0% | avgR +0.26 | peak 1.4R → give 1.1R | eq $1098  [costs gross=$   +105 comm=$  6.14 swap=$  -1.03]
  USDCAD       |  159 trades | WR  64.8% | PF  1.21 | PnL $   86.96 | DD   8.4% | avgR +0.11 | peak 1.4R → give 1.3R | eq $1091  [costs gross=$   +120 comm=$ 13.28 swap=$ -19.83]
  USDCHF       |   38 trades | WR  55.3% | PF  0.72 | PnL $  -35.74 | DD   8.0% | avgR -0.03 | peak 1.3R → give 1.4R | eq $965  [costs gross=$    -27 comm=$  6.77 swap=$  -1.63]
  AUDUSD       |   27 trades | WR  48.1% | PF  0.14 | PnL $  -82.74 | DD   8.3% | avgR -0.41 | peak 1.0R → give 1.6R | eq $920  [costs gross=$    -77 comm=$  4.60 swap=$  -1.16]
  NZDUSD       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -90.75 | DD   9.1% | avgR -1.60 | peak 0.2R → give 2.2R | eq $920  [costs gross=$    -88 comm=$  2.54 swap=$  -0.28]
  EURJPY       |   39 trades | WR  59.0% | PF  1.06 | PnL $   11.33 | DD   8.4% | avgR +0.04 | peak 1.5R → give 1.5R | eq $1016  [costs gross=$    +18 comm=$  5.10 swap=$  -1.82]
  GBPJPY       |   29 trades | WR  55.2% | PF  0.38 | PnL $  -84.40 | DD   8.9% | avgR -0.26 | peak 1.1R → give 1.5R | eq $925  [costs gross=$    -80 comm=$  3.02 swap=$  -1.05]
  AUDJPY       |  485 trades | WR  75.7% | PF  2.81 | PnL $ 1093.69 | DD   3.6% | avgR +0.45 | peak 1.6R → give 1.2R | eq $2094  [costs gross=$  +1132 comm=$ 31.11 swap=$  -7.33]
  NZDJPY       |   20 trades | WR  35.0% | PF  0.40 | PnL $  -65.29 | DD   8.3% | avgR -0.34 | peak 1.3R → give 1.6R | eq $938  [costs gross=$    -61 comm=$  3.46 swap=$  -0.95]
  CADJPY       |   35 trades | WR  57.1% | PF  0.35 | PnL $  -78.60 | DD   8.0% | avgR -0.24 | peak 1.0R → give 1.3R | eq $922  [costs gross=$    -72 comm=$  3.94 swap=$  -2.84]
  CHFJPY       |   86 trades | WR  79.1% | PF  2.69 | PnL $  328.93 | DD   8.3% | avgR +0.50 | peak 1.8R → give 1.3R | eq $1333  [costs gross=$   +340 comm=$  5.84 swap=$  -5.60]
  EURGBP       |   20 trades | WR  35.0% | PF  0.40 | PnL $  -74.93 | DD   8.0% | avgR -0.43 | peak 1.0R → give 1.5R | eq $925  [costs gross=$    -62 comm=$ 10.45 swap=$  -2.92]
  EURAUD       |  266 trades | WR  72.2% | PF  1.38 | PnL $  259.38 | DD   8.7% | avgR +0.22 | peak 1.4R → give 1.1R | eq $1269  [costs gross=$   +301 comm=$ 27.22 swap=$ -14.81]
  EURCHF       |   14 trades | WR  28.6% | PF  0.09 | PnL $  -85.90 | DD   8.6% | avgR -0.57 | peak 0.9R → give 1.5R | eq $920  [costs gross=$    -79 comm=$  6.26 swap=$  -1.03]
  EURCAD       |   39 trades | WR  56.4% | PF  1.84 | PnL $  137.53 | DD   8.2% | avgR +0.41 | peak 1.7R → give 1.3R | eq $1141  [costs gross=$   +150 comm=$  9.46 swap=$  -2.74]
  EURNZD       |    7 trades | WR   0.0% | PF  0.00 | PnL $  -91.50 | DD   9.1% | avgR -2.08 | peak 0.1R → give 2.9R | eq $920  [costs gross=$    -90 comm=$  0.96 swap=$  -0.07]
  GBPAUD       |  229 trades | WR  72.5% | PF  1.91 | PnL $  619.50 | DD   8.1% | avgR +0.36 | peak 1.6R → give 1.3R | eq $1622  [costs gross=$   +661 comm=$ 18.97 swap=$ -22.13]
  GBPCHF       |  139 trades | WR  63.3% | PF  0.85 | PnL $  -38.17 | DD   8.3% | avgR -0.01 | peak 1.3R → give 1.3R | eq $965  [costs gross=$    -21 comm=$ 13.22 swap=$  -3.68]
  XAUUSD       |  113 trades | WR  48.7% | PF  1.73 | PnL $  444.86 | DD   8.0% | avgR +0.38 | peak 1.3R → give 0.9R | eq $1445  [costs gross=$   +467 comm=$ 20.35 swap=$  -2.16]
  XAGUSD       |    9 trades | WR  22.2% | PF  0.14 | PnL $  -85.22 | DD   8.5% | avgR -1.01 | peak 0.7R → give 2.4R | eq $920  [costs gross=$    -81 comm=$  4.15 swap=$  -0.07]
  XPDUSD.r     |   37 trades | WR  51.4% | PF  0.71 | PnL $  -38.94 | DD   8.5% | avgR -0.09 | peak 1.0R → give 1.1R | eq $966  [costs gross=$    -37 comm=$  1.66 swap=$  -0.37]
  XPTUSD.r     |   40 trades | WR  47.5% | PF  0.72 | PnL $  -39.18 | DD   8.4% | avgR -0.17 | peak 0.9R → give 1.1R | eq $965  [costs gross=$    -36 comm=$  2.86 swap=$  -0.61]
  NAS100.r     |  132 trades | WR  65.9% | PF  2.21 | PnL $  859.17 | DD   8.8% | avgR +0.74 | peak 1.9R → give 1.2R | eq $1875  [costs gross=$   +860 comm=$  0.11 swap=$  -0.48]
  SP500.r      |   36 trades | WR  50.0% | PF  0.90 | PnL $  -18.42 | DD   8.9% | avgR -0.06 | peak 1.0R → give 1.1R | eq $991  [costs gross=$    -18 comm=$  0.11 swap=$  -0.30]
  GER40.r      |  165 trades | WR  80.0% | PF  4.52 | PnL $ 5128.34 | DD   8.0% | avgR +1.18 | peak 2.5R → give 1.3R | eq $6130  [costs gross=$  +5130 comm=$  0.25 swap=$  -1.42]
  JPN225ft     |  100 trades | WR  61.0% | PF  1.30 | PnL $  134.62 | DD   8.9% | avgR +0.22 | peak 1.3R → give 1.1R | eq $1146  [costs gross=$   +135 comm=$  0.02 swap=$  -0.03]
  UK100.r      |  133 trades | WR  57.9% | PF  1.76 | PnL $  525.74 | DD   8.0% | avgR +0.32 | peak 1.6R → give 1.3R | eq $1527  [costs gross=$   +531 comm=$  3.73 swap=$  -1.26]
  US2000.r     |  103 trades | WR  46.6% | PF  1.60 | PnL $  415.47 | DD   8.3% | avgR +0.35 | peak 1.4R → give 1.1R | eq $1420  [costs gross=$   +442 comm=$ 24.62 swap=$  -1.71]
  SPI200.r     |  106 trades | WR  53.8% | PF  1.10 | PnL $   48.50 | DD   8.5% | avgR +0.13 | peak 1.2R → give 1.1R | eq $1054  [costs gross=$    +52 comm=$  2.58 swap=$  -0.59]
  BTCUSD       |  312 trades | WR  54.8% | PF  1.70 | PnL $  691.37 | DD   8.0% | avgR +0.31 | peak 1.6R → give 1.4R | eq $1692  [costs gross=$   +692 comm=$  0.01 swap=$  -0.14]
  ETHUSD       |  798 trades | WR  79.9% | PF  5.49 | PnL $47313.68 | DD   4.1% | avgR +1.15 | peak 2.3R → give 1.1R | eq $48314  [costs gross=$ +47370 comm=$  1.82 swap=$ -54.69]
  BCHUSD       |  197 trades | WR  65.0% | PF  2.45 | PnL $ 1037.79 | DD   8.1% | avgR +0.57 | peak 1.8R → give 1.3R | eq $2039  [costs gross=$  +1050 comm=$  8.11 swap=$  -4.11]
  UKOUSD       |  260 trades | WR  75.0% | PF  2.85 | PnL $ 2204.99 | DD   8.2% | avgR +0.56 | peak 1.7R → give 1.2R | eq $3211  [costs gross=$  +2253 comm=$ 24.59 swap=$ -23.71]
  COPPER-Cr    |   43 trades | WR  58.1% | PF  4.19 | PnL $  711.45 | DD   8.2% | avgR +1.11 | peak 2.3R → give 1.2R | eq $1716  [costs gross=$   +726 comm=$ 11.50 swap=$  -3.25]
  GBPCAD       |   15 trades | WR  33.3% | PF  0.11 | PnL $  -82.06 | DD   8.2% | avgR -0.66 | peak 0.7R → give 1.5R | eq $920  [costs gross=$    -79 comm=$  2.70 swap=$  -0.34]
  GBPNZD       |    7 trades | WR  14.3% | PF  0.01 | PnL $  -91.16 | DD   9.1% | avgR -1.56 | peak 0.5R → give 2.1R | eq $920  [costs gross=$    -90 comm=$  0.93 swap=$  +0.00]
  AUDCAD       |   27 trades | WR  40.7% | PF  0.92 | PnL $  -10.16 | DD   8.5% | avgR +0.08 | peak 1.4R → give 1.4R | eq $995  [costs gross=$     +2 comm=$  9.13 swap=$  -2.93]
  AUDCHF       |   13 trades | WR   0.0% | PF  0.00 | PnL $  -84.90 | DD   8.5% | avgR -0.96 | peak 0.5R → give 1.5R | eq $920  [costs gross=$    -79 comm=$  5.72 swap=$  -0.57]
  AUDNZD       |    6 trades | WR   0.0% | PF  0.00 | PnL $  -87.04 | DD   8.7% | avgR -2.58 | peak 0.0R → give 0.0R | eq $920  [costs gross=$    -85 comm=$  1.69 swap=$  +0.00]
  NZDCAD       |   10 trades | WR  20.0% | PF  0.14 | PnL $  -93.72 | DD   9.4% | avgR -1.29 | peak 0.8R → give 2.4R | eq $920  [costs gross=$    -90 comm=$  3.10 swap=$  -0.90]
  NZDCHF       |    8 trades | WR   0.0% | PF  0.00 | PnL $  -88.09 | DD   8.8% | avgR -1.81 | peak 0.1R → give 2.0R | eq $920  [costs gross=$    -84 comm=$  3.17 swap=$  -0.52]
  CADCHF       |   10 trades | WR   0.0% | PF  0.00 | PnL $  -82.97 | DD   8.3% | avgR -1.29 | peak 0.3R → give 1.9R | eq $920  [costs gross=$    -78 comm=$  4.78 swap=$  -0.58]
  FRA40.r      |   67 trades | WR  49.3% | PF  1.51 | PnL $  196.73 | DD   8.5% | avgR +0.26 | peak 1.7R → give 1.5R | eq $1203  [costs gross=$   +199 comm=$  1.57 swap=$  -0.58]
  DJ30.r       |  198 trades | WR  47.5% | PF  2.43 | PnL $ 5345.33 | DD   8.3% | avgR +1.05 | peak 2.2R → give 1.2R | eq $6368  [costs gross=$  +5355 comm=$  9.32 swap=$  -0.45]
  EU50.r       |   78 trades | WR  64.1% | PF  1.88 | PnL $  258.73 | DD   8.2% | avgR +0.33 | peak 1.6R → give 1.3R | eq $1261  [costs gross=$   +262 comm=$  2.78 swap=$  -0.52]
  HK50.r       |  789 trades | WR  69.6% | PF  2.35 | PnL $20098.42 | DD   6.8% | avgR +0.69 | peak 1.9R → give 1.2R | eq $21098  [costs gross=$ +22295 comm=$1660.05 swap=$-536.84]
  CHINA50.r    |   15 trades | WR  13.3% | PF  0.35 | PnL $  -61.86 | DD   8.2% | avgR -0.33 | peak 0.9R → give 1.3R | eq $940  [costs gross=$    -42 comm=$ 15.31 swap=$  -4.13]
  NETH25.r     |   16 trades | WR  43.8% | PF  0.18 | PnL $  -81.19 | DD   8.1% | avgR -0.45 | peak 0.9R → give 1.4R | eq $920  [costs gross=$    -79 comm=$  2.04 swap=$  -0.25]
  SWI20.r      |  277 trades | WR  76.5% | PF  4.13 | PnL $ 4943.09 | DD   5.6% | avgR +0.76 | peak 1.9R → give 1.1R | eq $5943  [costs gross=$  +4953 comm=$  3.80 swap=$  -5.71]
  LTCUSD       |   27 trades | WR  33.3% | PF  0.44 | PnL $  -85.97 | DD   8.6% | avgR -0.30 | peak 1.3R → give 1.7R | eq $920  [costs gross=$    -80 comm=$  4.82 swap=$  -0.67]
  SOLUSD       |   45 trades | WR  48.9% | PF  0.55 | PnL $  -83.66 | DD   8.5% | avgR -0.15 | peak 1.1R → give 1.3R | eq $921  [costs gross=$    -78 comm=$  5.43 swap=$  -0.62]
