
Pass 2 fine-tune: 36 symbols × 180d, 6 workers
Per-symbol grid: 5 sl × 3 mq_t × 3 mq_r × 5 ratchet = up to 225 combos/sym
Acceptance: pass2 score must beat pass1 by > 3.0%

  [ 1/36] AUDUSD         ACC P1 pf= 3.03 pnl=$   1293  P2 pf= 3.11 pnl=$   1816 dd= 7.1% n= 272  sl=2.25 mq=37/42 r=0.2/0.5  lift=+40.1%  (144s)
  [ 2/36] CHFJPY         ACC P1 pf= 2.12 pnl=$    660  P2 pf= 3.19 pnl=$   1287 dd= 4.7% n= 225  sl=3.0 mq=37/42 r=0.2/0.5  lift=+265.6%  (145s)
  [ 3/36] AUDJPY         ACC P1 pf= 3.83 pnl=$   1804  P2 pf= 4.24 pnl=$   1665 dd= 4.8% n= 258  sl=2.75 mq=37/42 r=0.2/0.5  lift=+12.3%  (148s)
  [ 4/36] CADJPY         ACC P1 pf= 2.25 pnl=$    671  P2 pf= 2.50 pnl=$    716 dd= 3.8% n= 286  sl=2.25 mq=37/42 r=0.2/0.5  lift=+23.3%  (147s)
  [ 5/36] BCHUSD         --- P1 pf= 1.05 pnl=$     12  P2 pf= 1.05 pnl=$     12 dd= 8.3% n= 100  sl=2.5 mq=45/45 r=0.2/0.5  lift=+0.0%  (153s)
  [ 6/36] BTCUSD         ACC P1 pf= 2.75 pnl=$   3187  P2 pf= 3.12 pnl=$   3289 dd= 3.0% n= 684  sl=1.25 mq=37/42 r=0.4/0.8  lift=+36.9%  (193s)
  [ 7/36] EURCAD         --- P1 pf= 1.73 pnl=$    145  P2 pf= 1.73 pnl=$    145 dd= 8.1% n=  61  sl=1.5 mq=50/45 r=0.2/0.5  lift=+0.0%  (93s)
  [ 8/36] EURCHF         --- P1 pf= 2.67 pnl=$    278  P2 pf= 2.67 pnl=$    278 dd= 8.0% n=  73  sl=2.5 mq=40/45 r=0.2/0.5  lift=+0.0%  (94s)
  [ 9/36] COPPER-Cr      ACC P1 pf= 2.14 pnl=$   1121  P2 pf= 2.22 pnl=$   1294 dd= 5.6% n= 401  sl=1.75 mq=42/42 r=0.2/0.5  lift=+22.9%  (107s)
  [10/36] EURAUD         --- P1 pf= 3.91 pnl=$   1677  P2 pf= 3.91 pnl=$   1677 dd= 4.0% n= 270  sl=2.5 mq=40/45 r=0.2/0.5  lift=+0.0%  (107s)
  [11/36] EURGBP         --- P1 pf= 0.01 pnl=$    -81  P2 pf= 0.01 pnl=$    -81 dd= 8.1% n=  16  sl=1.5 mq=40/45 r=0.2/0.5  lift=+0.0%  (94s)
  [12/36] ETHUSD         ACC P1 pf= 3.73 pnl=$   9292  P2 pf= 3.73 pnl=$  12823 dd= 5.0% n= 460  sl=1.75 mq=37/42 r=0.4/0.8  lift=+51.2%  (144s)
  [13/36] EURNZD         ACC P1 pf= 0.03 pnl=$    -82  P2 pf= 0.01 pnl=$    -90 dd= 9.0% n=  16  sl=2.75 mq=43/42 r=0.2/0.5  lift=+100.0%  (109s)
  [14/36] EURJPY         ACC P1 pf= 1.79 pnl=$    379  P2 pf= 2.28 pnl=$    401 dd= 4.8% n= 248  sl=3.0 mq=37/42 r=0.2/0.5  lift=+55.4%  (118s)
  [15/36] GBPAUD         ACC P1 pf= 1.92 pnl=$    408  P2 pf= 2.47 pnl=$    450 dd= 7.1% n= 165  sl=3.0 mq=42/42 r=0.2/0.5  lift=+46.7%  (116s)
  [16/36] EURUSD         --- P1 pf= 2.91 pnl=$   1324  P2 pf= 2.91 pnl=$   1324 dd= 6.2% n= 278  sl=2.0 mq=40/45 r=0.2/0.5  lift=+1.4%  (122s)
  [17/36] GBPCHF         ACC P1 pf= 1.61 pnl=$    242  P2 pf= 1.74 pnl=$    308 dd= 8.8% n= 155  sl=2.75 mq=37/42 r=0.2/0.5  lift=+33.4%  (103s)
  [18/36] GBPJPY         ACC P1 pf= 2.25 pnl=$   1143  P2 pf= 2.32 pnl=$   1250 dd= 7.3% n= 286  sl=2.0 mq=42/42 r=0.4/0.8  lift=+14.3%  (130s)
  [19/36] GER40.r        ACC P1 pf= 3.06 pnl=$   1364  P2 pf= 3.38 pnl=$   1380 dd= 4.2% n= 219  sl=2.75 mq=42/42 r=0.3/0.7  lift=+29.0%  (123s)
