symbol,dir,entry,live_exit,bt_exit,live_pnl,bt_pnl,delta,legs,live_cat,bt_reason,div_type,regime,ts,note
AUDJPY,S,112.281,112.823,112.91166,-6.87,-30.1,23.23,1,SL_broker,SL,SLIPPAGE,low_vol,2026-05-05T12:00:18.211871+00:00,broker SL hit; BT also SL but at different price
AUDJPY,L,113.793,113.842,113.7931,0.94,0.0,0.94,2,SL_broker,SL,OK,low_vol,2026-05-11T14:53:10.132624+00:00,live SL ≈ BT SL
AUDUSD,S,0.71604,0.72038,0.71691,-4.34,-17.59,13.25,1,SL_broker,SL,TRAIL_LAG,low_vol,2026-05-06T02:07:35.286150+00:00,live SL trailed differently — exit-price gap 3.97× ATR
AUDUSD,L,0.72442,0.72461,0.72374,0.19,-3.8,3.99,1,SL_broker,SL,TRAIL_LAG,low_vol,2026-05-11T23:11:55.723878+00:00,live SL trailed differently — exit-price gap 1.28× ATR
AUDUSD,L,0.72495,0.72342,0.72326,-1.53,-4.37,2.84,1,EmergencyDD,SL,EXTERNAL_CLOSE,low_vol,2026-05-06T21:44:01.698359+00:00,portfolio DD kill; not in BT per-symbol
BTCUSD,S,76531.61,76893.44,77008.06705,0.18,-3.65,3.83,1,SL_broker,SL,SLIPPAGE,trending,2026-05-18T17:00:39.725873+00:00,broker SL hit; BT also SL but at different price
BTCUSD,S,76651.35,76487.93,76436.07477,0.44,1.28,-0.84,1,SL_broker,SL,OK,trending,2026-05-18T19:24:50.556305+00:00,live SL ≈ BT SL
BTCUSD,S,76793.15,76760.435,77399.49596,0.17,-3.66,3.83,2,SL_broker,SL,TRAIL_LAG,ranging,2026-05-19T05:50:02.715370+00:00,live SL trailed differently — exit-price gap 1.32× ATR
BTCUSD,S,76911.22,77279.96,76830.2223,-4.08,1.3,-5.38,2,SL_broker,SL,TRAIL_LAG,trending,2026-05-18T14:40:24.682366+00:00,live SL trailed differently — exit-price gap 1.18× ATR
BTCUSD,S,76930.28,77160.06,76824.42684,0.36,0.89,-0.53,1,SL_broker,SL,OK,trending,2026-05-18T04:08:14.766073+00:00,live SL ≈ BT SL
BTCUSD,S,76943.16,76856.86333,77351.26596,2.04,-3.57,5.61,3,SL_broker,SL,TRAIL_LAG,trending,2026-05-18T07:26:49.044614+00:00,live SL trailed differently — exit-price gap 1.51× ATR
BTCUSD,S,76966.04,76793.545,76888.56384,-2.52,0.63,-3.15,2,EarlyLossCut,SL,EXIT_MISMATCH,ranging,2026-05-19T19:32:50.628963+00:00,live cut at -2R/T1-T3 tier; BT lets it run to SL
BTCUSD,S,76987.28,76603.6425,76941.10089,1.66,0.26,1.4,4,SL_broker,SL,TRAIL_LAG,trending,2026-05-18T20:39:32.193954+00:00,live SL trailed differently — exit-price gap 0.64× ATR
BTCUSD,S,77105.3,77358.98,76964.8658,0.88,0.89,-0.01,1,SL_broker,SL,OK,trending,2026-05-18T03:03:02.945860+00:00,live SL ≈ BT SL
BTCUSD,S,77888.94,77983.705,78193.80524,-3.39,-3.57,0.18,2,EarlyLossCut,SL,EXIT_MISMATCH,low_vol,2026-05-17T05:11:16.110936+00:00,live cut at -2R/T1-T3 tier; BT lets it run to SL
